,지역,시군구,제목,모집기관,봉사기간
0,전라남도,함평군,함평자연생태공원 에서 환경정화 활동 등 자원봉사자를 모집합니다.,함평군산림공원사업소,2019-06-01 ~ 2019-09-01
1,전라남도,함평군,함평자연생태공원 환경정화 등,함평군산림공원사업소,2019-06-01 ~ 2019-09-01
2,전라남도,함평군,무지개장애인주간보호센터에서는 장애인 활동지원에 도움을 주시는 봉사자를 모집합니다.,무지개장애인주간보호센터,2019-07-18 ~ 2019-09-18
3,전라남도,함평군,어르신 활동보조 및 실내청소-함평군립요양원,함평군립요양원,2019-07-03 ~ 2019-10-02
4,전라남도,함평군,무지개장애인주간보호센터에서는 장애인 활동지원에 도움을 주시는 봉사자를 모집합니다.,무지개장애인주간보호센터,2019-07-18 ~ 2019-10-17
