,지역,시군구,제목,모집기관,봉사기간
7,경상북도,청송군,공동육아나눔터 동화구연 및 풍선아트 봉사활동,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
8,경상북도,청송군,공동육아나눔터 풍선아트 강의,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
9,경상북도,청송군,공동육아나눔터 종이접기 강의,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
0,경상북도,청송군,공동육아나눔터 수업지원,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
1,경상북도,청송군,어린이집 봉사활동,한솔어린이집,2019-08-01 ~ 2019-08-30
2,경상북도,청송군,구미역 환경정화 활동,한국철도공사 구미역,2019-08-12 ~ 2019-08-30
3,경상북도,청송군,[포항시 남구] 연오랑세오녀테마공원 전시관 및 신라마을 자원봉사자 모집,(재)포항문화재단 문화공간운영팀 전시관 귀비고,2019-09-07 ~ 2019-10-06
4,경상북도,청송군,최무선과학관 안내 및 과학체험프로그램 행사 보조,영천최무선과학관,2019-06-01 ~ 2019-08-31
5,경상북도,청송군,프로그램보조진행 및 활동보조 그리고 식사보조,삼성어르신요양센터,2019-06-01 ~ 2019-08-31
6,경상북도,청송군,포항시 동물보호센터 자원봉사자 모집,포항시동물보호센터 영일동물플러스,2019-06-01 ~ 2019-08-31
7,경상북도,청송군,포항시 동물보호센터 자원봉사자 모집,포항시동물보호센터 영일동물플러스,2019-06-01 ~ 2019-08-31
8,경상북도,청송군,텃밭 관리 및  마을 정화 자원봉사자 모집,농업회사법인(주)꿈바라기,2019-06-01 ~ 2019-08-31
9,경상북도,청송군,어르신 활동 보조 및 말벗,늘봄재가노인복지센터,2019-06-01 ~ 2019-08-31
0,경상북도,청송군,농촌봉사활동 봉사자 모집,농업회사법인 포항노다지마을(주),2019-06-01 ~ 2019-08-31
1,경상북도,청송군,노인주간보호센터에서 재능기부하실 봉사자를 모집합니다.,선한노인주간보호센터,2019-06-01 ~ 2019-08-31
2,경상북도,청송군,어르신 활동보조,효마실재가노인주야간보호전문센터,2019-06-01 ~ 2019-08-31
3,경상북도,청송군,주거환경 개선,효마실재가노인주야간보호전문센터,2019-06-01 ~ 2019-08-31
4,경상북도,청송군,어르신을 위한 문화공연,효마실재가노인주야간보호전문센터,2019-06-01 ~ 2019-08-31
5,경상북도,청송군,어르신 활동보조및 청소,은혜의 집,2019-06-09 ~ 2019-08-31
6,경상북도,청송군,방과후 활동 보조,(주)예천위드제이,2019-06-01 ~ 2019-08-31
7,경상북도,청송군,실버체조,구미푸른요양병원,2019-06-17 ~ 2019-08-31
8,경상북도,청송군,"경산시하양드림스타트 중, 고등 교과 수학과정 지도 및 자존감 향상 정서적 응원 해 주실 선생님",경산시드림스타트,2019-06-19 ~ 2019-09-18
9,경상북도,청송군,좋은이웃지역아동센터 학습 멘토링,좋은이웃지역아동센터,2019-07-01 ~ 2019-08-31
0,경상북도,청송군,흥덕종합사회복지관 경로식당 자원봉사자 모집,흥덕종합사회복지관,2019-07-01 ~ 2019-09-30
1,경상북도,청송군,정평실버복지센터 여가활동 프로그램 활동,정평실버복지센터,2019-07-01 ~ 2019-09-30
2,경상북도,청송군,경산장애인자립생활센터 여성중증 장애인 일상생활보조,경산장애인자립생활센터,2019-07-01 ~ 2019-09-30
3,경상북도,청송군,마을N작은도서관 자원봉사자 모집,마을N작은도서관,2019-07-02 ~ 2019-08-31
4,경상북도,청송군,봉좌마을 일손돕기,봉좌마을,2019-07-03 ~ 2019-08-31
5,경상북도,청송군,국립백두대간수목원 관람안내 여름 자원봉사자 모집,국립백두대간수목원,2019-07-06 ~ 2019-08-31
6,경상북도,청송군,주간보호 어르신들에게 네일아트 봉사,경상북도 경산시,2019-07-11 ~ 2019-09-30
7,경상북도,청송군,늘푸른요양병원 어르신 여가프로그램 활동,의료법인송백늘푸른요양병원,2019-07-11 ~ 2019-09-30
8,경상북도,청송군,여가프로그램 활동,정평실버복지센터,2019-07-11 ~ 2019-09-30
9,경상북도,청송군,금호도서관 자원봉사자 모집,경상북도교육청 금호도서관,2019-08-01 ~ 2019-08-31
0,경상북도,청송군,경산장애인자립생활센터 여성중증 장애인 일상생활 활동보조,경산장애인자립생활센터,2019-08-01 ~ 2019-10-31
1,경상북도,청송군,경주시립도서관-도서정리 및 주변환경 정비,경주시립도서관,2019-08-01 ~ 2019-08-31
2,경상북도,청송군,프로그램 활동도움및 보조,민들레실버홈,2019-08-01 ~ 2019-08-31
3,경상북도,청송군,포항시노인복지회관 경로식당 자원봉사자 모집,포항시노인복지회관,2019-08-01 ~ 2019-08-31
4,경상북도,청송군,포항시노인복지회관 스마트폰 안내 도우미,포항시노인복지회관,2019-08-01 ~ 2019-08-31
5,경상북도,청송군,제11회 안동시민 녹색자전거 대행진 자원봉사자 모집,경상북도 안동시,2019-09-07 ~ 2019-09-07
6,경상북도,청송군,예천지역아동센터 아동 학습지도 및 프로그램 보조,예천지역아동센터,2019-07-01 ~ 2019-08-31
7,경상북도,청송군,방과후 영어학습지도 봉사자 모집합니다.,마중물지역아동센터,2019-09-01 ~ 2019-11-30
8,경상북도,청송군,2019 안동권역 취업창업박람회 주차관리지원 및 행사장 내부 업무지원 자원봉사자 모집,경상북도 안동시,2019-09-04 ~ 2019-09-04
9,경상북도,청송군,평화 통일 놀이 한마당,해봄작은도서관,2019-09-01 ~ 2019-09-01
0,경상북도,청송군,어르신 식사도움,울진군노인요양원,2019-06-10 ~ 2019-09-09
1,경상북도,청송군,주민자치센터 발표회를 겸한 마을문화 한마당,경상북도 경주시,2019-09-04 ~ 2019-09-04
2,경상북도,청송군,제4회 안동시립도서관 BOOK적BOOK적 시민독서한마당 행사 자원봉사자 모집 안내,강남어린이도서관,2019-09-07 ~ 2019-09-07
3,경상북도,청송군,이미용 자원봉사자 구합니다.,팔공요양병원,2019-07-06 ~ 2019-09-05
