,지역,시군구,제목,모집기관,봉사기간
8,경상남도,거창군,김해고용센터 자원봉사자 모집,경상남도 김해시,2019-09-02 ~ 2019-10-02
9,경상남도,거창군,오봉산무지개마을 자원봉사 모집합니다,오봉산노인요양원,2019-06-01 ~ 2019-08-31
0,경상남도,거창군,이미용 자원봉사 모집,오봉산노인요양원,2019-06-01 ~ 2019-08-31
1,경상남도,거창군,사천국민체육센터주거환경 및 보조활동,사단법인 사천스포츠클럽,2019-06-01 ~ 2019-08-31
2,경상남도,거창군,함양박물관 전시실 도우미 및 주변 환경 정리 등,함양박물관,2019-07-01 ~ 2019-09-30
3,경상남도,거창군,책 읽어주기 및 놀아주기,초동작은도서관,2019-07-29 ~ 2019-08-27
4,경상남도,거창군,구암1동 청소년 여름방학 자원봉사자 모집,구암1동행정복지센터,2019-08-07 ~ 2019-08-28
5,경상남도,거창군,청소년자원봉사 온라인교육,창원시자원봉사센터,2019-08-01 ~ 2019-08-31
6,경상남도,거창군,마산 실버대학 보조 선생님 봉사자 모집,마산실버대학,2019-08-01 ~ 2019-08-30
7,경상남도,거창군,경남생명의전화 자살예방캠페인 [생명사랑 십리 밤길걷기],경남생명의전화,2019-09-05 ~ 2019-09-05
8,경상남도,거창군,뜨란채작은도서관 서가 정리 및 청소 봉사활동,뜨란채작은도서관,2019-09-03 ~ 2019-09-27
9,경상남도,거창군,창원과학체험관 대학생 8월달 평일&주말 봉사모집안내,창원과학체험관,2019-08-01 ~ 2019-08-31
0,경상남도,거창군,2019년funfun한여름방학활동-깨끗한 우리동네 가꾸기 꼭 내용확인!!,삼안동 자원봉사캠프,2019-07-22 ~ 2019-08-30
1,경상남도,거창군,찾아가는 자원봉사 미니박람회_자원봉사 체험 참가자 모집,창원시자원봉사센터,2019-08-31 ~ 2019-08-31
2,경상남도,거창군,환경정화활동 및 해상 안전사고예방캠페인 봉사자 모집,경상남도 통영시,2019-08-30 ~ 2019-08-30
3,경상남도,거창군,장유 공동육아나눔터 청소 및 사무보조,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
4,경상남도,거창군,장유 공동육아나눔터 청소 및 정리,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
5,경상남도,거창군,정효노인복지센터 주간보호 활동보조 봉사자 모집,정효노인복지센터,2019-06-01 ~ 2019-08-31
6,경상남도,거창군,지역아동을 위한 안전교육 보조활동 자원봉사자 모집,경남안전실천시민연합,2019-06-03 ~ 2019-08-30
7,경상남도,거창군,장애아동 활동보조 및 환경정화활동,시립어깨동무어린이집,2019-06-21 ~ 2019-09-20
8,경상남도,거창군,목욕봉사 하실 선생님 모집합니다,베스트재활주간보호센터,2019-08-01 ~ 2019-10-31
9,경상남도,거창군,마산회원구 공동육아나눔터  봉사자 모집,마산회원구 공동육아나눔터,2019-08-01 ~ 2019-08-30
0,경상남도,거창군,마산회원구 공동육아나눔터  봉사자 모집,마산회원구 공동육아나눔터,2019-08-01 ~ 2019-08-30
1,경상남도,거창군,[북부동캠프]광복 74주년 8 . 15 광복절기념  태극기 그리기 및 역사알아보기,북부동 자원봉사캠프,2019-08-05 ~ 2019-08-30
2,경상남도,거창군,[한국수경협회]저탄소생활 교육 및 수경재배 체험,경상남도 김해시,2019-08-10 ~ 2019-08-31
3,경상남도,거창군,상시봉사자모집,한내들작은도서관,2019-09-02 ~ 2019-11-29
4,경상남도,거창군,현미팩 만들기 자원봉사자 모집,사천시자원봉사센터,2019-08-31 ~ 2019-08-31
5,경상남도,거창군,3D체험관투어 및 창의체험교실 수업보조,양산 3D과학체험관,2019-08-16 ~ 2019-08-30
6,경상남도,거창군,장유 공동육아나눔터 청소 및 업무보조 등,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
7,경상남도,거창군,김해시건강가정다문화가족지원센터 육아방 관리 자원봉사자 모집,김해시다문화가족지원센터,2019-08-25 ~ 2019-11-24
8,경상남도,거창군,"입소자 식사수발, 산책, 말벗 및 시설 내 환경정리",주남 행복한 어르신의 집,2019-06-01 ~ 2019-08-31
9,경상남도,거창군,재능기부,메트로요양병원,2019-06-01 ~ 2019-08-31
0,경상남도,거창군,"[오후] 기후변화 홍보체험관 ""1층 물순환 홍보관"" 시설 안전요원 보조 자원봉사",김해시 기후변화 홍보체험관,2019-06-01 ~ 2019-08-31
1,경상남도,거창군,어르신 활동 보조,우리들노인전문요양원,2019-06-01 ~ 2019-08-31
2,경상남도,거창군,선한이웃지역아동센터 학습지도 자원봉사자 모집,선한이웃지역아동센터,2019-06-03 ~ 2019-08-31
3,경상남도,거창군,유배문학관봉사활동,남해유배문학관,2019-06-01 ~ 2019-08-31
4,경상남도,거창군,유배문학관봉사활동,남해유배문학관,2019-06-01 ~ 2019-08-31
5,경상남도,거창군,함양문화원-생생문화재,함양문화원,2019-06-05 ~ 2019-08-31
6,경상남도,거창군,노인주간보호센터 봉사자 모집,양산도우누리노인복지센터,2019-07-01 ~ 2019-09-30
7,경상남도,거창군,[오전] 기후변화 테마공원 내 물놀이 시설 안전요원 보조 자원봉사,김해시 기후변화 홍보체험관,2019-07-01 ~ 2019-08-31
8,경상남도,거창군,[오후] 기후변화 테마공원 내 물놀이 시설 안전요원 보조 자원봉사,김해시 기후변화 홍보체험관,2019-07-01 ~ 2019-08-31
9,경상남도,거창군,창녕군 치매안심센터 치매 등대지기사업 활동 보조 및 프로그램 활동 보조 봉사자 모집,"창녕군보건소 치매안심,정신건강복지센터",2019-07-15 ~ 2019-08-31
0,경상남도,거창군,"실내청소, 어르신안마해드리기 , 프로그램 참여 . 말벗 해드리기 등등",효나누미재가복지센터,2019-07-06 ~ 2019-08-31
1,경상남도,거창군,[북부동캠프]가족봉사단 [학교길 예쁘고 깨끗하게 만드는 가족봉사단활동],북부동 자원봉사캠프,2019-07-06 ~ 2019-08-31
2,경상남도,거창군,이민자한국어교실 한국어교육,다문화미래사회연구소,2019-07-21 ~ 2019-10-20
3,경상남도,거창군,사무실청소 및 정리정돈,다문화미래사회연구소,2019-07-15 ~ 2019-10-15
4,경상남도,거창군,진해드림요양병원,진해드림요양병원,2019-08-01 ~ 2019-10-31
5,경상남도,거창군,자원봉사모집합니다.,예림지역아동센터,2019-07-22 ~ 2019-08-31
6,경상남도,거창군,함안군국민체육센터 봉사자 모집,함안지방공사,2019-08-05 ~ 2019-08-31
7,경상남도,거창군,이산화탄소 줄이기를 위한 식물가꿈 및 환경정화활동,한국수경협회 경남지부,2019-08-01 ~ 2019-08-31
8,경상남도,거창군,현대노인주간보호센터  재능기분 자원봉사 모집,현대노인재가복지센터,2019-07-25 ~ 2019-10-25
9,경상남도,거창군,김해시보건소 국가 암검진 안내 우편물 작업,김해시보건소,2019-08-10 ~ 2019-08-31
0,경상남도,거창군,성범죄 근절을 위한 학생보안관 활용 피서철 성범죄 예방 운영 계획,함양경찰서,2019-07-29 ~ 2019-08-31
1,경상남도,거창군,함양문화원,함양문화원,2019-08-01 ~ 2019-08-31
2,경상남도,거창군,"실내청소, 어르신안마래드리기 , 프로그램 참여 . 말벗 해드리기 등등",효나누미재가복지센터,2019-09-01 ~ 2019-10-31
3,경상남도,거창군,함안체육관 봉사자 모집,함안지방공사,2019-08-12 ~ 2019-08-31
4,경상남도,거창군,3D체험관투어 및 창의체험교실 수업보조,양산 3D과학체험관,2019-08-17 ~ 2019-08-31
5,경상남도,거창군,2019 국제연안정화의 날 전국 바다대청소 자원봉사 3,동아시아바다공동체 오션,2019-06-03 ~ 2019-09-02
6,경상남도,거창군,[클린통영 봉사프로젝트] 버스정류장 환경 정화활동,경상남도 통영시,2019-06-01 ~ 2019-09-01
7,경상남도,거창군,[학생주도 봉사프로젝트] 스스로 계획하고 실천하는 창의봉사활동,경상남도 통영시,2019-06-01 ~ 2019-09-01
8,경상남도,거창군,경상남도 청소년 온라인 자원봉사교육,경상남도 통영시,2019-06-01 ~ 2019-09-01
9,경상남도,거창군,이미용 봉사,사단법인 장애인경제활동지원센터,2019-07-01 ~ 2019-09-02
0,경상남도,거창군,김해동상시장 자원봉사자 모집-대학생이상 신청가능,경상남도 김해시,2019-09-07 ~ 2019-09-07
1,경상남도,거창군,어르신을 위한 자원봉사 공연,경남주간노인복지센터,2019-06-05 ~ 2019-09-04
2,경상남도,거창군,3.1운동 100주년 기념 캠페인 활동,진영문화의집 자원봉사캠프,2019-06-10 ~ 2019-09-07
3,경상남도,거창군,평강노인주간보호센터 환경정리및 어르신 말벗,평강노인주간보호센터,2019-07-09 ~ 2019-09-07
4,경상남도,거창군,2019 사천에어쇼 자원봉사자 2차 모집,사천항공우주엑스포추진위원회,2019-10-24 ~ 2019-10-27
5,경상남도,거창군,제12회 사천시농업한마당축제 자원봉사자 모집,사천시자원봉사센터,2019-10-18 ~ 2019-10-18
6,경상남도,거창군,제12회 사천시농업한마당축제 자원봉사자 모집,사천시자원봉사센터,2019-10-19 ~ 2019-10-19
7,경상남도,거창군,제12회 사천시농업한마당축제 자원봉사자 모집,사천시자원봉사센터,2019-10-20 ~ 2019-10-20
8,경상남도,거창군,김해문화재 야행 자원봉사자 모집-체험부스 지원,경상남도 김해시,2019-09-20 ~ 2019-09-21
9,경상남도,거창군,김해문화재 야행 자원봉사자 모집 달빛탐방,경상남도 김해시,2019-09-20 ~ 2019-09-21
0,경상남도,거창군,국민생활체육 창원시풋살연합회 풋살대회 행사보조,창원시자원봉사센터,2019-09-11 ~ 2019-09-11
1,경상남도,거창군,궁전 어르신유치원 자원봉사 활동,궁전어르신유치원,2019-06-12 ~ 2019-09-10
2,경상남도,거창군,9월 자원봉사자 기본교육,경상남도 거제시,2019-09-10 ~ 2019-09-10
3,경상남도,거창군,목욕봉사자를 모집합니다.,마산우리요양병원,2019-08-12 ~ 2019-09-11
4,경상남도,거창군,제12회 통영시사회복지박람회 부스지원 자원봉사자를 모집합니다^^,경상남도 통영시,2019-09-21 ~ 2019-09-21
5,경상남도,거창군,서가정리 및 환경정화 [유토피아 작은도서관],유토피아 작은도서관,2019-09-03 ~ 2019-09-28
6,경상남도,거창군,"의령곤충생태학습관 안내 및 질서유지, 환경미화",의령곤충생태학습관,2019-06-19 ~ 2019-09-19
7,경상남도,거창군,"의령곤충생태학습관 안내 및 질서유지, 환경미화",의령곤충생태학습관,2019-06-19 ~ 2019-09-19
8,경상남도,거창군,동읍주민복지관 내.외 환경정비 봉사자를 구합니다.,동읍주민복지관,2019-07-01 ~ 2019-09-20
9,경상남도,거창군,2019년 꿈모아페스티벌,창원시지역아동센터연합회,2019-09-28 ~ 2019-09-28
0,경상남도,거창군,양산시장애인부모회 토요프로그램 탁구반 활동지원 봉사자 모집,(사)양산시장애인부모회,2019-09-21 ~ 2019-12-21
1,경상남도,거창군,양산시장애인부모회 토요프로그램 미술1반 활동지원 봉사자 모집,(사)양산시장애인부모회,2019-09-21 ~ 2019-12-21
2,경상남도,거창군,양산시장애인부모회 토요프로그램 미술2반 활동지원 봉사자 모집,(사)양산시장애인부모회,2019-09-21 ~ 2019-12-21
3,경상남도,거창군,"보물섬배 전국 남,여 배구대회 봉사자 모집",경상남도 남해군,2019-09-21 ~ 2019-09-22
4,경상남도,거창군,활동보조 봉사자님 모십니다,메트로요양병원,2019-07-01 ~ 2019-09-30
5,경상남도,거창군,경남대표도서관 9월 주말 오전 자원봉사자 모집합니다.,경남대표도서관,2019-09-01 ~ 2019-09-30
6,경상남도,거창군,경남대표도서관 9월 주말 오후 자원봉사자 모집합니다.,경남대표도서관,2019-09-01 ~ 2019-09-30
7,경상남도,거창군,경남대표도서관 9월 평일 저녁 자원봉사자를 모집합니다.,경남대표도서관,2019-09-01 ~ 2019-09-30
8,경상남도,거창군,경남대표도서관 9월 평일 오전 자원봉사자를 모집합니다.,경남대표도서관,2019-09-01 ~ 2019-09-30
9,경상남도,거창군,경남대표도서관 9월 평일 오후 자원봉사자를 모집합니다.,경남대표도서관,2019-09-01 ~ 2019-09-30
0,경상남도,거창군,창원과학체험관 대학생 9월달 평일 봉사모집안내,창원과학체험관,2019-09-03 ~ 2019-09-27
1,경상남도,거창군,진해주간보호센터 어르신들 목욕도우미 선생님.,진해주간보호센터,2019-07-11 ~ 2019-09-26
2,경상남도,거창군,가톨릭여성회관 무료급식소 한마음의 집 급식봉사,마산한마음의집(무료급식소),2019-08-20 ~ 2019-09-26
3,경상남도,거창군,방문고객 안내,대한법률구조공단(진주출장소),2019-07-01 ~ 2019-09-30
4,경상남도,거창군,방문고객 안내,대한법률구조공단(진주출장소),2019-07-01 ~ 2019-09-30
5,경상남도,거창군,2019 이주민과 함께하는 문화다양성 축제 MAMF 축제 봉사자 모집,경남이주민노동복지센터,2019-10-25 ~ 2019-10-27
6,경상남도,거창군,"경남수학문화관 SW교육체험실 주말프로그램 ""오후"" 봉사자 모집",경남수학문화관,2019-09-07 ~ 2019-09-28
7,경상남도,거창군,창원과학체험관 청소년 9월달 일요일 봉사모집안내,창원과학체험관,2019-09-01 ~ 2019-09-29
8,경상남도,거창군,창원과학체험관 대학생 9월달 주말 봉사모집안내,창원과학체험관,2019-09-01 ~ 2019-09-29
9,경상남도,거창군,창원과학체험관 대학생 9월달 주말 봉사모집안내,창원과학체험관,2019-09-01 ~ 2019-09-29
0,경상남도,거창군,사천시어린이도서관 주말 오후 학생자원봉사 모집,사천시어린이도서관,2019-09-01 ~ 2019-09-30
1,경상남도,거창군,도서관 자료실 업무 보조 및 프로그램 운영지원,함안도서관,2019-09-21 ~ 2019-09-28
2,경상남도,거창군,"도서관 서가정리, 도서관 주변 환경정비 및 실내청소",밀양시립도서관,2019-07-01 ~ 2019-09-30
3,경상남도,거창군,"도서관 서가정리, 도서관 주변 환경정비 및 실내청소",밀양시립도서관,2019-07-01 ~ 2019-09-30
4,경상남도,거창군,우포생태촌 및 우포늪 환경정화 봉사활동,우포생태촌유스호스텔,2019-07-01 ~ 2019-09-30
5,경상남도,거창군,동창원 요양병원에서 봉사자를 모집합니다. 많은 지원 부탁드립니다. ^^,동창원요양병원,2019-08-01 ~ 2019-09-30
6,경상남도,거창군,청소년방과후아카데미 프로그램 및 보조봉사 모집,하동군청소년방과후아카데미,2019-07-01 ~ 2019-09-30
7,경상남도,거창군,진해도서관 청소년 자원봉사활동,진해도서관,2019-07-01 ~ 2019-09-30
8,경상남도,거창군,남해요양원 봉사자 모집,남해요양원,2019-07-01 ~ 2019-09-30
9,경상남도,거창군,[사랑과나눔] 건강생활체조 프로그램 지원,사랑과나눔,2019-07-01 ~ 2019-09-30
0,경상남도,거창군,[사랑과나눔] 건강생활체조 프로그램 지원,사랑과나눔,2019-07-01 ~ 2019-09-30
1,경상남도,거창군,기관 실내.외 청소 및 어르신 활동보조,실버케어재가복지센터,2019-07-01 ~ 2019-09-30
2,경상남도,거창군,《내외문화의 집》환경활동  평일 오후 봉사자 모집,내외문화의집 자원봉사캠프,2019-07-01 ~ 2019-09-30
3,경상남도,거창군,[오전]북부동행정복지센터 민원안내 자원봉사,북부동 자원봉사캠프,2019-07-01 ~ 2019-09-30
4,경상남도,거창군,[오후]북부동행정복지센터 민원안내 자원봉사,북부동 자원봉사캠프,2019-07-01 ~ 2019-09-30
5,경상남도,거창군,노인주간보호센터 공연하실 분 모집,양산도우누리노인복지센터,2019-07-01 ~ 2019-09-30
6,경상남도,거창군,도서관업무보조,e-편한작은도서관,2019-08-01 ~ 2019-10-31
7,경상남도,거창군,안심요양원에서 자원봉사자를 모집합니다.,안심요양원,2019-07-01 ~ 2019-09-30
8,경상남도,거창군,진해동부도서관 서가정리 및 환경정비 청소년 자원봉사,동부도서관,2019-07-01 ~ 2019-09-30
9,경상남도,거창군,영어뮤지컬 학습 및 활동지도 자원봉사자 모집,목양비젼지역아동센터,2019-07-01 ~ 2019-09-30
0,경상남도,거창군,연꽃노인요양원 시설 자원봉사,연꽃노인요양원,2019-07-01 ~ 2019-09-30
1,경상남도,거창군,아동 학습지원 및 센터 환경정리정돈,참조은지역아동센터,2019-07-01 ~ 2019-09-30
2,경상남도,거창군,[사랑과나눔] 어린이집 야외학습 돌보미 보조,사랑과나눔,2019-07-03 ~ 2019-09-30
3,경상남도,거창군,거제도서관 자료정리,거제도서관,2019-08-01 ~ 2019-09-30
4,경상남도,거창군,"입소어르신 주변청소 및 식사보조, 말벗, 프로그램보조, 산책도움등",효심마을,2019-07-01 ~ 2019-09-30
5,경상남도,거창군,재능봉사,효심마을,2019-07-01 ~ 2019-09-30
6,경상남도,거창군,★고등학생 이상 신청가능★ 아름다운가게 자원봉사,아름다운가게 진주시청점,2019-08-01 ~ 2019-09-30
7,경상남도,거창군,★고등학생 이상 신청가능★ 아름다운가게 자원봉사,아름다운가게 진주시청점,2019-08-01 ~ 2019-09-30
8,경상남도,거창군,진해주간보호센터 미술치료/음악치료/웃음치료 선생님을 모집합니다.,진해주간보호센터,2019-07-10 ~ 2019-09-30
9,경상남도,거창군,청소년 교육봉사,진교청소년문화의집,2019-07-12 ~ 2019-09-30
0,경상남도,거창군,청소년 자원봉사 온라인 교육,경상남도 하동군,2019-07-01 ~ 2019-09-30
1,경상남도,거창군,어르신들에게 청춘 충전!,효종노인복지센터,2019-07-01 ~ 2019-09-30
2,경상남도,거창군,청소년 자원봉사 온라인 교육,함양군자원봉사센터,2019-07-01 ~ 2019-09-30
3,경상남도,거창군,어르신말벗.입원환자식사보조.청소,참좋은요양병원,2019-08-01 ~ 2019-09-30
