,지역,시군구,제목,모집기관,봉사기간
0,전라남도,보성군,"등록문화재 관람 방문, 이용객 안내 및 시설물 유지관리 보조",문화유산국민신탁 보성여관사업단,2019-07-01 ~ 2019-09-30
1,전라남도,보성군,보성군 복내면 천연염색공예관  염색보조. 환경정리등,한국천연염색공예관,2019-08-12 ~ 2019-11-11
