,지역,시군구,제목,모집기관,봉사기간
9,경기도,안양시,안양시장애인탁구협회_장애인 체육활동지원,사)안양시자원봉사센터,2019-07-05 ~ 2019-09-27
0,경기도,안양시,비산도서관-도서정리 및 보조,안양시립비산도서관,2019-09-03 ~ 2019-09-27
1,경기도,안양시,비산도서관-도서정리 및 보조,안양시립비산도서관,2019-09-03 ~ 2019-09-27
2,경기도,안양시,헌혈의집 안양센터 안내 및 홍보 봉사,사)안양시자원봉사센터,2019-07-01 ~ 2019-09-30
3,경기도,안양시,안양시중독관리통합지원센터 장기. 단기 봉사활동,안양시중독관리통합지원센터,2019-07-01 ~ 2019-09-30
4,경기도,안양시,일상생활 지원 및 프로그램 보조,복수초요양원,2019-07-01 ~ 2019-09-30
5,경기도,안양시,안양시자원봉사센터 업무 보조 봉사자 모집,사)안양시자원봉사센터,2019-08-05 ~ 2019-09-30
6,경기도,안양시,주방 배식 및 설거지 봉사,안양시노숙인쉼터희망사랑방,2019-08-13 ~ 2019-09-30
7,경기도,안양시,안양박물관/김중업건축박물관 오전 전시안내 지킴이 자원봉사 모집,안양문화예술재단,2019-09-01 ~ 2019-09-30
8,경기도,안양시,안양박물관/김중업건축박물관 오후 전시안내 지킴이 자원봉사 모집,안양문화예술재단,2019-09-01 ~ 2019-09-30
9,경기도,안양시,안양시중독관리통합지원센터 중독폐해예방캠페인 자원봉사자 모집,안양시중독관리통합지원센터,2019-08-23 ~ 2019-10-08
0,경기도,안양시,안양동안경찰서 시민자전거순찰대 순찰활동,안양동안경찰서,2019-07-18 ~ 2019-10-17
1,경기도,안양시,초등돌봄교실,한숲지역아동센터,2019-08-24 ~ 2019-10-26
2,경기도,안양시,어르신 활동 및 프로그램 보조,주)어르신세상주간보호센터(만안),2019-09-02 ~ 2019-10-31
3,경기도,안양시,어르신 활동 및 프로그램 보조,주)어르신세상주간보호센터(만안),2019-09-02 ~ 2019-10-31
4,경기도,안양시,비산체육공원 환경정화활동,비산체육공원,2019-09-01 ~ 2019-10-31
5,경기도,안양시,비산체육공원 환경정화활동,비산체육공원,2019-09-01 ~ 2019-10-31
