,지역,시군구,제목,모집기관,봉사기간
8,경기도,성남시,판교노인종합복지관-독거어르신 도시락배달,판교노인종합복지관,2019-07-01 ~ 2019-09-30
9,경기도,성남시,중탑종합사회복지관 - 경로식당 활동 보조 및 도시락 배달,중탑종합사회복지관,2019-07-01 ~ 2019-09-30
0,경기도,성남시,중탑종합사회복지관-경로식당 활동 보조 및 도시락 배달,중탑종합사회복지관,2019-07-01 ~ 2019-09-30
1,경기도,성남시,주간보호센터 어르신 활동 및 보행보조,하얀마을복지회관주간보호센터,2019-07-01 ~ 2019-09-30
2,경기도,성남시,주간보호센터 어르신 활동 및 보행보조,하얀마을복지회관주간보호센터,2019-07-01 ~ 2019-09-30
3,경기도,성남시,주간보호센터 어르신 활동 및 보행보조,하얀마을복지회관주간보호센터,2019-07-01 ~ 2019-09-30
4,경기도,성남시,합창지도,복정방과후교실,2019-08-01 ~ 2019-10-31
5,경기도,성남시,사)선진복지사회연구회- 사업서류 편철 정리 등 간단한 컴퓨터 작업,선진복지사회연구회,2019-08-12 ~ 2019-09-30
6,경기도,성남시,다살림재가노인복지센터 -독거어르신 후원물품 전달,다살림재가노인복지센터,2019-07-01 ~ 2019-09-30
7,경기도,성남시,성남시중장기청소년쉼터 - 중학생 수학과외,성남시중장기남자청소년쉼터,2019-07-01 ~ 2019-10-01
8,경기도,성남시,서현헌혈의집- 헌혈동참 캠페인 9월~10월,헌혈의집서현센터,2019-09-01 ~ 2019-10-31
9,경기도,성남시,서현헌혈의집- 헌혈동참 캠페인 9월~10월,헌혈의집서현센터,2019-09-01 ~ 2019-10-31
0,경기도,성남시,순회사진전 설치 및 철회보조,분당장애인자립생활센터,2019-10-14 ~ 2019-10-14
1,경기도,성남시,영아보육 보조,보통골쉼터어린이집,2019-07-29 ~ 2019-10-25
2,경기도,성남시,수정구보건소 치매안심센터- 인지재활 프로그램 운영 보조,수정구보건소치매안심센터,2019-08-05 ~ 2019-10-28
3,경기도,성남시,효사랑 경로식당 급식활동 보조,(사)효사랑운동봉사회,2019-08-01 ~ 2019-10-31
4,경기도,성남시,순회사진전 설치 및 철회보조,분당장애인자립생활센터,2019-10-28 ~ 2019-10-28
5,경기도,성남시,"다살림재가노인복지센터 - 어르신 가정방문 및 집안청소, 말벗활동",다살림재가노인복지센터,2019-08-01 ~ 2019-10-31
6,경기도,성남시,두드림 발달센터에서 장애아동 수업 보조 활동,두드림발달센터,2019-08-01 ~ 2019-10-31
7,경기도,성남시,다살림재가노인복지센터 - 오전 행정업무보조 활동,다살림재가노인복지센터,2019-08-01 ~ 2019-10-31
8,경기도,성남시,다살림재가노인복지센터 -오후 행정업무보조활동,다살림재가노인복지센터,2019-08-01 ~ 2019-10-31
9,경기도,성남시,순회사진전 설치 및 철회보조,분당장애인자립생활센터,2019-11-04 ~ 2019-11-04
0,경기도,성남시,성은학교 - 교육 활동보조 및 이동보조,성은학교,2019-08-21 ~ 2019-11-21
1,경기도,성남시,장애아동 수영수업 보조활동,을지대학교산학협력단,2019-09-01 ~ 2019-11-24
2,경기도,성남시,특수학급 교육 수업활동 보조,성남푸른유치원,2019-08-26 ~ 2019-11-26
3,경기도,성남시,태평2동재가복지센터-어르신활동보조 - 오전,태평2동재가복지센터,2019-09-01 ~ 2019-11-30
4,경기도,성남시,태평2동재가복지센터-어르신활동보조 - 오후,태평2동재가복지센터,2019-09-01 ~ 2019-11-30
5,경기도,성남시,중원노인종합복지관-고령자프로그램 진행보조,중원노인종합복지관,2019-09-02 ~ 2019-12-02
