,지역,시군구,제목,모집기관,봉사기간
2,경기도,부천시,+부천시보건소 민원안내,부천시보건소,2019-08-01 ~ 2019-08-31
3,경기도,부천시,부천활박물관 관람객응대및 안내등 업무보조,부천활박물관,2019-08-01 ~ 2019-08-31
4,경기도,부천시,아동음악교실 이론지도 봉사자 모집,고강종합사회복지관,2019-07-29 ~ 2019-09-30
5,경기도,부천시,노인예술단 지휘 및 지도,부천시소사노인복지관,2019-08-29 ~ 2019-10-31
6,경기도,부천시,부천 펄벅기념관 문화 자원봉사,부천펄벅기념관,2019-08-01 ~ 2019-08-31
7,경기도,부천시,부천수석박물관 교육체험프로그램 업무 보조,수석박물관,2019-08-01 ~ 2019-08-31
8,경기도,부천시,초중등 육상경기 보조,부천시체육회,2019-09-03 ~ 2019-09-04
9,경기도,부천시,부천시청소년성문화센터 아웃리치 봉사자 모집,부천시청소년성문화센터,2019-09-04 ~ 2019-09-04
0,경기도,부천시,대산동행정복지센터 행정업무 보조,대산동 행정복지센터,2019-07-29 ~ 2019-09-11
1,경기도,부천시,대산동행정복지센터 행정업무 보조,대산동 행정복지센터,2019-08-07 ~ 2019-09-11
2,경기도,부천시,부천시육아종합지원센터 개소기념행사 진행보조,부천시육아종합지원센터,2019-09-19 ~ 2019-09-21
3,경기도,부천시,자원봉사,아름다운가게부천중동점,2019-08-19 ~ 2019-09-30
4,경기도,부천시,대산동행정복지센터 행정업무 보조,대산동 행정복지센터,2019-08-17 ~ 2019-09-22
5,경기도,부천시,소사보건소 아토피 천식예방 인형극 행사진행보조,부천시 소사보건소,2019-09-23 ~ 2019-09-23
6,경기도,부천시,어르신 말벗서비스 및 가사지원,부천시원미노인복지관,2019-09-28 ~ 2019-09-28
7,경기도,부천시,서가 및 도서정리,부천시립원미도서관,2019-09-06 ~ 2019-09-27
8,경기도,부천시,상원초 특수교육대상학생 현장학습 참여지원,부천시자원봉사센터,2019-09-25 ~ 2019-09-25
9,경기도,부천시,송내도서관 서가 정리 및 봉사활동,부천시립 송내도서관,2019-09-01 ~ 2019-09-30
0,경기도,부천시,송내도서관 서가 정리 및 봉사활동,부천시립 송내도서관,2019-09-01 ~ 2019-09-30
1,경기도,부천시,송내도서관 서가 정리 및 봉사활동,부천시립 송내도서관,2019-09-01 ~ 2019-09-30
2,경기도,부천시,송내도서관 서가 정리 및 봉사활동,부천시립 송내도서관,2019-09-01 ~ 2019-09-29
3,경기도,부천시,송내도서관 서가 정리 및 봉사활동,부천시립 송내도서관,2019-09-01 ~ 2019-09-29
4,경기도,부천시,상담실 봉사,부천시원미노인복지관,2019-07-19 ~ 2019-10-18
5,경기도,부천시,상동도서관 서가 정리 봉사활동 - 오전,부천시립상동도서관,2019-09-01 ~ 2019-09-30
6,경기도,부천시,상동도서관 서가 정리 봉사활동 - 평일 오후,부천시립상동도서관,2019-09-01 ~ 2019-09-30
7,경기도,부천시,상동도서관 서가 정리 봉사활동 - 야간,부천시립상동도서관,2019-09-01 ~ 2019-09-30
8,경기도,부천시,상동도서관 서가 정리 봉사활동 - 주말 오후,부천시립상동도서관,2019-09-01 ~ 2019-09-30
9,경기도,부천시,숲속도서관 서가정리활동,숲속 작은도서관(부천시직영),2019-09-01 ~ 2019-09-30
0,경기도,부천시,부천도시공사 교통정보센터 CCTV 교통량 조사,부천도시공사 교통정보센터,2019-07-01 ~ 2019-09-30
1,경기도,부천시,지역일자리창출진흥원 행정보조및 업무지원,(사)지역일자리창출진흥원,2019-07-01 ~ 2019-09-30
2,경기도,부천시,정든노인주야간복지센터 어르신 프로그램 보조,부천시자원봉사센터,2019-07-15 ~ 2019-09-30
3,경기도,부천시,초등학교 아동 학습지도,LH행복꿈터우리나래지역아동센터,2019-08-01 ~ 2019-09-30
4,경기도,부천시,오정도서관 서가정리 및 봉사활동,부천시립오정도서관,2019-09-01 ~ 2019-09-30
5,경기도,부천시,오정도서관 서가정리 및 봉사활동,부천시립오정도서관,2019-09-01 ~ 2019-09-30
6,경기도,부천시,오정도서관 서가정리 및 봉사활동,부천시립오정도서관,2019-09-02 ~ 2019-09-30
7,경기도,부천시,역곡도서관 도서 및 서가 정리,부천시립역곡도서관,2019-09-01 ~ 2019-09-30
8,경기도,부천시,역곡도서관 도서 및 서가 정리,부천시립역곡도서관,2019-09-01 ~ 2019-09-30
9,경기도,부천시,역곡도서관 도서 및 서가 정리,부천시립역곡도서관,2019-09-01 ~ 2019-09-30
0,경기도,부천시,아름다운가게 부천여월점 자원봉사 모집/오전,아름다운가게부천여월점,2019-08-26 ~ 2019-10-10
1,경기도,부천시,아름다운가게 부천여월점 자원봉사 모집/오후,아름다운가게부천여월점,2019-08-26 ~ 2019-10-10
2,경기도,부천시,상원초 특수교육대상학생 수영수업 참여지원및 안전관리,부천시자원봉사센터,2019-09-02 ~ 2019-10-21
3,경기도,부천시,저소득 청소년 꿈 이룸 프로젝트 'Holy Dream',삼정종합사회복지관,2019-08-10 ~ 2019-10-31
4,경기도,부천시,[그린지역아동센터] 초등학생 방과후 기초학습지도,그린지역아동센터,2019-08-26 ~ 2019-10-28
5,경기도,부천시,현무장애인자립생활센터 중증장애인 요리교실 활동보조,현무장애인자립생활센터,2019-08-01 ~ 2019-10-31
6,경기도,부천시,밑반찬배달 자원봉사자 모집 [주1회/화or금],부천시소사노인복지관,2019-08-23 ~ 2019-11-22
